id,name,name_reverse,class,label,subject_class,object_class,new_class
2950,mittlere und neuere Kunstgeschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> mittlere und neuere Kunstgeschichte,person,institution,PositionAn
2951,Münz- und Altertumskunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Münz- und Altertumskunde,person,institution,PositionAn
2952,Musikwissenschaft,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Musikwissenschaft,person,institution,PositionAn
2953,Nachrichtentechnik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Nachrichtentechnik,person,institution,PositionAn
2954,Nationalökonomie und Finanzwissenschaft,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Nationalökonomie und Finanzwissenschaft,person,institution,PositionAn
2955,neuere Kunstgeschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> neuere Kunstgeschichte,person,institution,PositionAn
2956,Neurologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Neurologie,person,institution,PositionAn
2957,Organische Chemie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Organische Chemie,person,institution,PositionAn
2958,Organische Chemie und Biochemie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Organische Chemie und Biochemie,person,institution,PositionAn
2959,orientalische Sprache,,person institution relation,hat Position inne >> Priv.-Doz. >> >> orientalische Sprache,person,institution,PositionAn
2960,Orientkunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Orientkunde,person,institution,PositionAn
2961,österreichische Geschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> österreichische Geschichte,person,institution,PositionAn
2962,österreichische Geschichte mit besonderer Berücksichtigung der Neuzeit und der Hilfswissenschaften,,person institution relation,hat Position inne >> Priv.-Doz. >> >> österreichische Geschichte mit besonderer Berücksichtigung der Neuzeit und der Hilfswissenschaften,person,institution,PositionAn
2963,österreichische Geschichte und allgemeine Wirtschaftsgeschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> österreichische Geschichte und allgemeine Wirtschaftsgeschichte,person,institution,PositionAn
2964,österreichische und europäische Volkskunde,,person institution relation,hat Position inne >> Priv.-Doz. >> >> österreichische und europäische Volkskunde,person,institution,PositionAn
2965,österreichischen Literaturgeschichte und der allgemeinen Literaturwissenschaft,,person institution relation,hat Position inne >> Priv.-Doz. >> >> österreichischen Literaturgeschichte und der allgemeinen Literaturwissenschaft,person,institution,PositionAn
2966,österreichisches Privatrecht,,person institution relation,hat Position inne >> Priv.-Doz. >> >> österreichisches Privatrecht,person,institution,PositionAn
2967,osteuropäische Geschichte,,person institution relation,hat Position inne >> Priv.-Doz. >> >> osteuropäische Geschichte,person,institution,PositionAn
2968,Pädagogik,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Pädagogik,person,institution,PositionAn
2969,Pädagogik und Kulturphilosophie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Pädagogik und Kulturphilosophie,person,institution,PositionAn
2970,Paläontologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Paläontologie,person,institution,PositionAn
2971,Paläoontologie und Paläobiologie,,person institution relation,hat Position inne >> Priv.-Doz. >> >> Paläoontologie und Paläobiologie,person,institution,PositionAn
